Date,Predicted High,Predicted Low,Predicted Close
25-05-2023,1875.8976,1756.135,1836.733
26-05-2023,1875.8976,1756.135,1836.733
27-05-2023,1875.8976,1756.135,1836.733
28-05-2023,1875.8976,1756.135,1836.733
29-05-2023,1875.8976,1756.135,1836.733
30-05-2023,1875.8976,1756.135,1836.733
31-05-2023,1875.8976,1756.135,1836.733
01-06-2023,1875.8976,1756.135,1836.733
02-06-2023,1875.8976,1756.135,1836.733
03-06-2023,1875.8976,1756.135,1836.733
04-06-2023,1875.8976,1756.135,1836.733
05-06-2023,1875.8976,1756.135,1836.733
06-06-2023,1875.8976,1756.135,1836.733
07-06-2023,1875.8976,1756.135,1836.733
08-06-2023,1875.8976,1756.135,1836.733
09-06-2023,1875.8976,1756.135,1836.733
10-06-2023,1875.8976,1756.135,1836.733
11-06-2023,1875.8976,1756.135,1836.733
12-06-2023,1875.8976,1756.135,1836.733
13-06-2023,1875.8976,1756.135,1836.733
14-06-2023,1875.8976,1756.135,1836.733
15-06-2023,1875.8976,1756.135,1836.733
16-06-2023,1875.8976,1756.135,1836.733
17-06-2023,1875.8976,1756.135,1836.733
18-06-2023,1875.8976,1756.135,1836.733
19-06-2023,1875.8976,1756.135,1836.733
20-06-2023,1875.8976,1756.135,1836.733
21-06-2023,1875.8976,1756.135,1836.733
22-06-2023,1875.8976,1756.135,1836.733
23-06-2023,1875.8976,1756.135,1836.733
24-06-2023,1875.8976,1756.135,1836.733
25-06-2023,1875.8976,1756.135,1836.733
26-06-2023,1875.8976,1756.135,1836.733
27-06-2023,1875.8976,1756.135,1836.733
28-06-2023,1875.8976,1756.135,1836.733
29-06-2023,1875.8976,1756.135,1836.733
30-06-2023,1875.8976,1756.135,1836.733
01-07-2023,1875.8976,1756.135,1836.733
02-07-2023,1875.8976,1756.135,1836.733
03-07-2023,1875.8976,1756.135,1836.733
04-07-2023,1875.8976,1756.135,1836.733
05-07-2023,1875.8976,1756.135,1836.733
06-07-2023,1875.8976,1756.135,1836.733
07-07-2023,1875.8976,1756.135,1836.733
08-07-2023,1875.8976,1756.135,1836.733
09-07-2023,1875.8976,1756.135,1836.733
10-07-2023,1875.8976,1756.135,1836.733
11-07-2023,1875.8976,1756.135,1836.733
12-07-2023,1875.8976,1756.135,1836.733
13-07-2023,1875.8976,1756.135,1836.733
14-07-2023,1875.8976,1756.135,1836.733
15-07-2023,1875.8976,1756.135,1836.733
16-07-2023,1875.8976,1756.135,1836.733
17-07-2023,1875.8976,1756.135,1836.733
18-07-2023,1875.8976,1756.135,1836.733
19-07-2023,1875.8976,1756.135,1836.733
20-07-2023,1875.8976,1756.135,1836.733
21-07-2023,1875.8976,1756.135,1836.733
22-07-2023,1875.8976,1756.135,1836.733
23-07-2023,1875.8976,1756.135,1836.733
24-07-2023,1875.8976,1756.135,1836.733
25-07-2023,1875.8976,1756.135,1836.733
26-07-2023,1875.8976,1756.135,1836.733
27-07-2023,1875.8976,1756.135,1836.733
28-07-2023,1875.8976,1756.135,1836.733
29-07-2023,1875.8976,1756.135,1836.733
30-07-2023,1875.8976,1756.135,1836.733
31-07-2023,1875.8976,1756.135,1836.733
01-08-2023,1875.8976,1756.135,1836.733
02-08-2023,1875.8976,1756.135,1836.733
03-08-2023,1875.8976,1756.135,1836.733
04-08-2023,1875.8976,1756.135,1836.733
05-08-2023,1875.8976,1756.135,1836.733
06-08-2023,1875.8976,1756.135,1836.733
07-08-2023,1875.8976,1756.135,1836.733
08-08-2023,1875.8976,1756.135,1836.733
09-08-2023,1875.8976,1756.135,1836.733
10-08-2023,1875.8976,1756.135,1836.733
11-08-2023,1875.8976,1756.135,1836.733
12-08-2023,1875.8976,1756.135,1836.733
13-08-2023,1875.8976,1756.135,1836.733
14-08-2023,1875.8976,1756.135,1836.733
15-08-2023,1875.8976,1756.135,1836.733
16-08-2023,1875.8976,1756.135,1836.733
17-08-2023,1875.8976,1756.135,1836.733
18-08-2023,1875.8976,1756.135,1836.733
19-08-2023,1875.8976,1756.135,1836.733
20-08-2023,1875.8976,1756.135,1836.733
21-08-2023,1875.8976,1756.135,1836.733
22-08-2023,1875.8976,1756.135,1836.733
23-08-2023,1875.8976,1756.135,1836.733
24-08-2023,1875.8976,1756.135,1836.733
25-08-2023,1875.8976,1756.135,1836.733
26-08-2023,1875.8976,1756.135,1836.733
27-08-2023,1875.8976,1756.135,1836.733
28-08-2023,1875.8976,1756.135,1836.733
29-08-2023,1875.8976,1756.135,1836.733
30-08-2023,1875.8976,1756.135,1836.733
31-08-2023,1875.8976,1756.135,1836.733
01-09-2023,1875.8976,1756.135,1836.733
02-09-2023,1875.8976,1756.135,1836.733
03-09-2023,1875.8976,1756.135,1836.733
04-09-2023,1875.8976,1756.135,1836.733
05-09-2023,1875.8976,1756.135,1836.733
06-09-2023,1875.8976,1756.135,1836.733
07-09-2023,1875.8976,1756.135,1836.733
08-09-2023,1875.8976,1756.135,1836.733
09-09-2023,1875.8976,1756.135,1836.733
